ID_Producto_Generado,Marca,Nombre_Producto,Precio_MXN,Moneda,URL_Imagen_Principal,Genero,Categoria_Producto,Coleccion_Fuente
BSK-M-06759730800,Bershka,Cazadora efecto vinilo cuello pelo,20,MXN,https://static.bershka.net/assets/public/64d0/b329/eabb4858bb65/b89d13152736/06759730800-p/06759730800-p.jpg,Hombre,Cazadora/Chamarra,Novedades
BSK-M-08130443441,Bershka,Camiseta manga larga retro print,649,MXN,https://static.bershka.net/assets/public/906b/6e6c/b71f48a498b2/b81fdbc00806/08130443441-p/08130443441-p.jpg,Hombre,Camiseta,Novedades
BSK-M-07342376802,Bershka,Jersey efecto cepillado print,849,MXN,https://static.bershka.net/assets/public/d71d/bb85/58324c39b7c5/5957b3bbb8f8/07342376802-p/07342376802-p.jpg,Hombre,Jersey,Novedades
BSK-M-06864710712,Bershka,Cazadora boxy efecto borreguillo,1399,MXN,https://static.bershka.net/assets/public/a26d/9aa3/e959464bb0cf/d723f3af3d93/06864710712-p/06864710712-p.jpg,Hombre,Cazadora/Chamarra,Novedades
BSK-M-00046179700,Bershka,Pantalón barrel print,1199,MXN,https://static.bershka.net/assets/public/e7ce/53ef/0dec4aa29bc6/443a6b37b9b1/00046179700-a4o/00046179700-a4o.jpg?ts=1762958215351&w=850&f=auto,Hombre,Pantalón,Novedades
BSK-M-05424046711,Bershka,Pantalón super baggy pana,424,MXN,https://static.bershka.net/assets/public/a591/6b7f/bf7b4104a5be/f646a786306a/05424046711-p/05424046711-p.jpg?ts=1760099430415&w=850&f=auto,Hombre,Pantalón,Novedades
BSK-M-12621664021,Bershka,Zapato vestir bordón,1399,MXN,https://static.bershka.net/assets/public/6b4b/7258/e54b4bb681c4/0982d46c6753/12621664021-a4o/12621664021-a4o.jpg,Hombre,Zapato,Novedades
BSK-M-09753192700,Bershka,Bolso crossbody,384,MXN,https://static.bershka.net/assets/public/f13f/9735/18c84512a5cc/b47d4d43749d/09753192700-p/09753192700-p.jpg,Hombre,Bolso/Accesorio,Novedades
BSK-M-06864710809-01,Bershka,Cazadora boxy efecto borreguillo,1399,MXN,https://static.bershka.net/assets/public/07f1/534f/36724948bde3/596650b074a6/06864710809-01-p/06864710809-01-p.jpg,Hombre,Cazadora/Chamarra,Novedades
BSK-M-06864710712-01,Bershka,Cazadora boxy efecto borreguillo,1399,MXN,https://static.bershka.net/assets/public/8003/9a4d/453943d19d67/6af0b5d4accb/06864710712-01-p/06864710712-01-p.jpg,Hombre,Cazadora/Chamarra,Novedades
BSK-M-06817677700-01,Bershka,Cazadora efecto piel,1799,MXN,https://static.bershka.net/assets/public/513d/f72a/dd8e418db5da/7f937cb2119d/06817677700-01-p/06817677700-01-p.jpg,Hombre,Cazadora/Chamarra,Novedades
BSK-M-06960752711,Bershka,Abrigo paño cruzado,1049,MXN,https://static.bershka.net/assets/public/d6e0/060c/e08b4c2087e8/92c309d00905/06960752711-a1t/06960752711-a1t.jpg,Hombre,Abrigo,Novedades
