ID_Producto_Generado,Marca,Nombre_Producto,Precio_MXN,Moneda,URL_Imagen_Principal,Genero,Categoria_Producto,Coleccion_Fuente
BSK-JNS-001,Bershka,Jeans baggy balloon leg light wash,849,MXN,https://static.zara.net/assets/public/39f8/ceda/c9524f91a4a7/05cf50ca00c7/08727235400-a1/08727235400-a1.jpg?ts=1763643866373&w=1125,Mujer,Jeans & Denim,Baggy Collection
BSK-JNS-002,Bershka,Jeans wide leg straight,699,MXN,https://static.pullandbear.net/assets/public/6811/a065/8bc140eab4eb/b6cc5abc2318/07683324427-A6M/07683324427-A6M.jpg?ts=1754921470144&w=994&f=auto,Mujer,Jeans & Denim,Básicos Volume
BSK-JNS-003,Bershka,Jeans wide leg barrel,849,MXN,https://static.bershka.net/assets/public/fdf7/0129/d55a4e2494e0/5a61ac776326/00018335432-a2d/00018335432-a2d.jpg?ts=1761575595475&w=1920,Mujer,Jeans & Denim,Trends 2025
BSK-JNS-004,Bershka,Jeans bootcut low waist,849,MXN,https://static.e-stradivarius.net/assets/public/8518/9455/6c2849659959/1c5bd175df3e/07364590701-c1/07364590701-c1.jpg?ts=1762519762392,Mujer,Jeans & Denim,Y2K Revival
BSK-JNS-005,Bershka,Mono denim flare,1299,MXN,https://static.bershka.net/assets/public/95fb/7e29/6c21413a9bc3/85c79da7adfb/08500335400-p/08500335400-p.jpg?ts=1752065645215&w=850&f=auto,Mujer,Jumpsuits,Premium Denim
BSK-JNS-006,Bershka,Jeans straight coated (Efecto Piel),1199,MXN,https://static.bershka.net/assets/public/9271/c5eb/308e4514a016/5e93b7c1db09/0505333580002-a2d/0505333580002-a2d.jpg?ts=1763630493671&w=850&f=auto,Mujer,Jeans & Denim,Bershka Series
BSK-JNS-007,Bershka,Jeans wide leg cargo,849,MXN,https://static.lefties.com/assets/public/c597/ce75/3e4b4baea487/6318f3bb9877/05414101828-A6/05414101828-A6.jpg?ts=1751620670444&w=300&f=auto,Mujer,Jeans & Denim,Utility/Cargo
BSK-JNS-008,Bershka,Petite high waisted flared jeans,131,MXN,https://joesjeans.mx/cdn/shop/files/GTJPUT5315_PLUTO_1_dafd31d4-7d71-4bce-bfec-58ef43b9b83b.jpg?v=1740067279&width=493,Mujer,Jeans & Denim,Sale / Liquidación
BSK-JNS-009,Bershka,Jeans straight cigarette,699,MXN,https://static.bershka.net/assets/public/5b3b/8b57/d16c4bfb9826/3ffc65799f31/05005534428-20-a2d/05005534428-20-a2d.jpg?ts=1757418849062&w=850&f=auto,Mujer,Jeans & Denim,Básicos
BSK-JNS-010,Bershka,High waist ankle length skinny jean,69,MXN,https://joesjeans.mx/cdn/shop/files/HRMCL15748_CLARISS_1_81c58ea7-a63c-4fa6-8079-16882da0b4f3.jpg?v=1739308855&width=493,Mujer,Jeans & Denim,Super Sale
